Number_of_Run,Time,copy_dna_number,total_thread,total_male,total_female,latest_generation
0,0,0,0,0,0,0
1,13445002630549,4288,4715,2352,2363,265
2,23645889876530,2426,2741,1329,1412,216
3,3494286265286,9285,10072,5017,4978,394
4,32968739208885,9475,10080,5003,4992,335
5,588656179206,205,540,273,267,37
6,244528212683,13,153,74,79,10
7,2596501795476,3714,4705,2337,2368,193
8,4584382941534,9553,10038,4959,5036,645
9,191419389882,61,370,183,187,18
10,1963733742521,8639,10084,4976,5019,263
11,4811778061991,4053,4693,2386,2307,317
12,4384449738702,9037,10156,4963,5032,261
13,3964969554468,5977,6524,3268,3256,501
14,198713778135,40,202,109,93,24
15,773337051788,4,117,63,54,7
16,5540326979988,9564,10032,4956,5039,728
17,623286172918,504,880,448,432,72
