generation_number,offsprings_per_generation,male_offsprings_per_generation,female_offsprings_per_generation,duration
1,54,25,29,48702234348
2,20,6,14,14816529830
3,28,8,20,14848772614
4,45,25,20,18835124468
5,30,13,17,14861116539
6,22,8,14,14927262780
7,34,16,18,20516771529
8,15,8,7,22415611427
9,24,17,7,14877136285
10,18,9,9,14816232985
11,21,9,12,14813866911
12,15,8,7,14720186349
13,16,7,9,14823774499
14,11,6,5,14860658640
15,14,6,8,14776758558
16,18,12,6,19636024949
17,23,5,18,20858287040
18,24,16,8,28908659853
19,16,8,8,14812925062
20,19,13,6,14820820657
21,25,14,11,14814805210
22,19,12,7,14774737882
23,14,5,9,20652136275
24,15,6,9,14716685002
25,18,5,13,14779398582
26,13,7,6,14830255345
27,22,11,11,14813408223
28,20,11,9,14872739272
29,11,7,4,14830153898
30,13,5,8,28884233322
31,14,6,8,22738681117
32,11,4,7,14796582022
33,10,4,6,24855684122
34,17,9,8,14765573986
35,18,7,11,30895906977
36,11,4,7,14818918404
37,17,12,5,24809334898
38,8,4,4,28966469178
39,9,4,5,14821380794
40,14,9,5,14844157705
41,6,2,4,14814405338
42,10,2,8,17079298200
43,8,2,6,20922275236
44,13,6,7,14819194328
45,14,5,9,14816679831
46,7,3,4,14846438910
47,4,1,3,16166638442
48,13,5,8,14779358713
49,12,6,6,14801160615
50,23,12,11,20880065654
51,13,6,7,14842103872
52,12,6,6,14827118739
53,15,5,10,14778519101
54,10,5,5,15881337507
55,16,4,12,20851670403
56,17,12,5,14808492128
57,16,9,7,17416706437
58,17,7,10,14797323345
59,13,7,6,14808585287
60,5,4,1,14831632990
61,12,5,7,19620254679
62,12,8,4,14763590021
63,16,9,7,14749233710
64,15,6,9,14815668901
65,16,7,9,20836316583
66,16,6,10,22856792159
67,19,10,9,14763681207
68,24,10,14,14892707607
69,18,11,7,14885591623
70,17,8,9,14822467908
71,17,10,7,14806041185
72,22,11,11,14747748697
73,19,9,10,14808068176
74,28,14,14,23234645884
75,13,9,4,14763897129
76,14,8,6,14815193240
77,13,5,8,15374135272
78,17,8,9,14811472417
79,21,8,13,14809648717
80,20,9,11,20901231235
81,21,9,12,20834392224
82,22,14,8,14811286889
83,31,19,12,14990828209
84,22,13,9,14795840700
85,13,8,5,14802091413
86,11,6,5,15816765095
87,8,5,3,14826474523
88,15,7,8,14801370617
89,15,8,7,14793918709
90,10,4,6,14905058636
91,14,6,8,14814872710
92,7,1,6,14811214652
93,13,6,7,14781646628
94,10,6,4,16241908711
95,17,7,10,14808478311
96,18,6,12,14824292793
97,16,4,12,20834457751
98,9,3,6,14779282133
99,5,2,3,23454254530
100,6,5,1,20904401394
101,10,5,5,14894226962
102,13,8,5,14810536093
103,16,9,7,14791842375
104,10,7,3,14900157540
105,22,11,11,14711620484
106,16,5,11,14960225965
107,10,5,5,18295345893
108,13,8,5,14712763257
109,19,12,7,18915093725
110,11,6,5,14809425688
111,8,4,4,14776415924
112,13,7,6,19596277362
113,15,7,8,14815848508
114,14,7,7,15468256365
115,19,10,9,14844743499
116,7,5,2,14732986988
117,18,13,5,14815086660
118,24,12,12,14750312536
119,13,8,5,14796532286
120,20,11,9,19118537755
121,20,7,13,18964825085
122,16,7,9,14811112414
123,13,6,7,14777006061
124,22,16,6,14812392162
125,19,13,6,14792171984
126,10,4,6,14791148422
127,14,8,6,14775374993
128,18,11,7,14778757128
129,18,9,9,14807006720
130,22,11,11,14906612334
131,16,7,9,14778063570
132,13,4,9,14810870833
133,12,9,3,14891168909
134,8,5,3,14824518585
135,11,5,6,14733995155
136,12,5,7,14810997939
137,15,7,8,14812622296
138,11,5,6,14912891864
139,10,4,6,14848372348
140,22,14,8,14828507830
141,19,11,8,14808147519
142,19,6,13,20947548879
143,15,9,6,18126887698
144,16,9,7,14809202660
145,11,5,6,14731316052
146,21,13,8,14711819828
147,10,4,6,14825527540
148,9,5,4,14840404908
149,31,17,14,14777338432
150,16,12,4,14810465435
151,14,8,6,14906196278
152,16,6,10,14857235057
153,12,6,6,14908856434
154,11,4,7,14782807559
155,14,6,8,14810495830
156,13,8,5,14736243201
157,8,3,5,15977513223
158,13,6,7,15277220602
159,14,5,9,22272135162
160,18,7,11,15169197939
161,16,13,3,15196337125
162,15,6,9,14939326834
163,8,2,6,15019564910
164,11,10,1,18413410356
165,11,3,8,15141402694
166,7,3,4,15227820035
167,3,2,1,14969350388
168,7,4,3,21493495667
169,17,8,9,14856464918
170,13,5,8,15121019093
171,10,3,7,14931811372
172,19,8,11,15028271696
173,15,5,10,23001855674
174,5,4,1,14969440784
175,18,12,6,14969106833
176,19,9,10,14941686986
177,13,7,6,14947767171
178,9,4,5,14959502801
179,14,5,9,21077092785
180,18,7,11,14877420498
181,22,13,9,17181251335
182,21,8,13,14909632888
183,25,14,11,14986283958
184,23,10,13,14905283244
185,16,7,9,16616013983
186,24,12,12,14895528421
187,22,11,11,14948217965
188,20,13,7,14899264638
189,19,11,8,16846086406
190,8,3,5,15028573673
191,20,6,14,16624537611
192,18,6,12,23096082953
193,13,6,7,14860709956
194,16,9,7,14823616208
195,12,5,7,14835495523
196,17,11,6,14935754434
197,17,8,9,14965070613
198,11,6,5,14966018779
199,16,4,12,16491759203
200,13,7,6,21027706034
201,11,5,6,14897276726
202,17,6,11,21195793174
203,20,8,12,14956091455
204,23,13,10,15141468615
205,25,12,13,21429422996
206,15,7,8,15071974977
207,19,10,9,14883969635
208,22,12,10,16260534533
209,16,12,4,20997888929
210,15,5,10,14956600275
211,15,11,4,22920918119
212,23,15,8,14759579854
213,16,4,12,14751013989
214,13,7,6,26892484973
215,15,7,8,14760830392
216,14,9,5,14819144590
217,14,8,6,14810031220
218,16,6,10,20169741497
219,16,11,5,14778405810
220,23,12,11,14843698622
221,24,10,14,14959043324
222,34,17,17,14962638223
223,21,8,13,14903600466
224,17,10,7,21097487438
225,13,9,4,19959232798
226,13,5,8,14900564124
227,10,4,6,14975765313
228,13,7,6,21559662434
229,18,9,9,14924075646
230,17,7,10,14959471222
231,25,12,13,23168779514
232,20,9,11,23101684712
233,22,11,11,29241185943
234,22,9,13,14993013886
235,23,13,10,19295298919
236,22,12,10,14968728672
237,22,9,13,21785700217
238,14,10,4,14948041516
239,25,15,10,14902691774
240,18,12,6,20908097743
241,16,11,5,14825443066
242,26,10,16,14872445981
243,25,11,14,14716450921
244,19,11,8,14777059745
245,20,10,10,20818552084
246,17,7,10,14812227555
247,21,12,9,14823232915
248,15,7,8,14713692081
249,15,6,9,14889344025
250,25,13,12,14929649380
251,20,9,11,31179901323
252,23,12,11,15034729254
253,24,12,12,19450037520
254,22,9,13,20100056014
255,16,7,9,15010158643
256,11,4,7,15029944212
257,12,4,8,23110624396
258,12,4,8,15351211912
259,18,12,6,14980317064
260,12,5,7,14931957821
261,14,4,10,14992591119
262,20,10,10,14983829068
263,13,8,5,14920065480
264,17,7,10,14965728251
265,21,8,13,14943225684
266,25,16,9,14843916913
267,15,7,8,15938524326
268,23,12,11,14711061137
269,13,7,6,14747074481
